TagNo,Distance,Temperature,RealTemp,RSSI,FREQ,H_RSSI,H_FREQ,ID,Data,Detect
1,30,25,25.8,213,10761485,d5,a4350d,e20051397201021118904d81,441601d5a4350d0e3000e20051397201021118904d81,1
1,30,25,25.8,216,16529165,d8,fc370d,e20051397201021118904d81,441601d8fc370d0e3000e20051397201021118904d81,1
1,30,25,25.8,0,0,0,0,,4405000000,0
1,30,25,25.8,202,5519885,ca,543a0d,e20051397201021118904d81,441601ca543a0d0e3000e20051397201021118904d81,1
1,40,25,25.8,208,10761485,d0,a4350d,e20051397201021118904d81,441601d0a4350d0e3000e20051397201021118904d81,1
1,40,25,25.8,202,16529165,ca,fc370d,e20051397201021118904d81,441601cafc370d0e3000e20051397201021118904d81,1
1,40,25,25.8,202,11287565,ca,ac3c0d,e20051397201021118904d81,441601caac3c0d0e3000e20051397201021118904d81,1
1,40,25,25.8,213,5519885,d5,543a0d,e20051397201021118904d81,441601d5543a0d0e3000e20051397201021118904d81,1
1,40,25,25.8,196,10761485,c4,a4350d,e20051397201021118904d81,441601c4a4350d0e3000e20051397201021118904d81,1
1,50,25,25.8,170,16529165,aa,fc370d,e20051397201021118904d81,441601aafc370d0e3000e20051397201021118904d81,1
1,50,25,25.8,186,11287565,ba,ac3c0d,e20051397201021118904d81,441601baac3c0d0e3000e20051397201021118904d81,1
1,50,25,25.8,187,5519885,bb,543a0d,e20051397201021118904d81,441601bb543a0d0e3000e20051397201021118904d81,1
1,50,25,25.8,186,10761485,ba,a4350d,e20051397201021118904d81,441601baa4350d0e3000e20051397201021118904d81,1
1,50,25,25.8,186,16529165,ba,fc370d,e20051397201021118904d81,441601bafc370d0e3000e20051397201021118904d81,1
1,60,25,25.8,154,11287565,9a,ac3c0d,e20051397201021118904d81,4416019aac3c0d0e3000e20051397201021118904d81,1
1,60,25,25.8,138,5519885,8a,543a0d,e20051397201021118904d81,4416018a543a0d0e3000e20051397201021118904d81,1
1,60,25,25.8,154,10761485,9a,a4350d,e20051397201021118904d81,4416019aa4350d0e3000e20051397201021118904d81,1
1,60,25,25.8,138,16529165,8a,fc370d,e20051397201021118904d81,4416018afc370d0e3000e20051397201021118904d81,1
1,60,25,25.8,107,11287565,6b,ac3c0d,e20051397201021118904d81,4416016bac3c0d0e3000e20051397201021118904d81,1
1,70,25,25.8,90,5519885,5a,543a0d,e20051397201021118904d81,4416015a543a0d0e3000e20051397201021118904d81,1
1,70,25,25.8,153,10761485,99,a4350d,e20051397201021118904d81,44160199a4350d0e3000e20051397201021118904d81,1
1,70,25,25.8,138,16529165,8a,fc370d,e20051397201021118904d81,4416018afc370d0e3000e20051397201021118904d81,1
1,70,25,25.8,121,11287565,79,ac3c0d,e20051397201021118904d81,44160179ac3c0d0e3000e20051397201021118904d81,1
1,70,25,25.8,121,5519885,79,543a0d,e20051397201021118904d81,44160179543a0d0e3000e20051397201021118904d81,1
1,80,25,25.8,88,10761485,58,a4350d,e20051397201021118904d81,44160158a4350d0e3000e20051397201021118904d81,1
1,80,25,25.8,40,16529165,28,fc370d,e20051397201021118904d81,44160128fc370d0e3000e20051397201021118904d81,1
1,80,25,25.8,57,11287565,39,ac3c0d,e20051397201021118904d81,44160139ac3c0d0e3000e20051397201021118904d81,1
1,80,25,25.8,41,5519885,29,543a0d,e20051397201021118904d81,44160129543a0d0e3000e20051397201021118904d81,1
1,80,25,25.8,9,10761485,09,a4350d,e20051397201021118904d81,44160109a4350d0e3000e20051397201021118904d81,1
1,90,25,25.8,134,16529165,86,fc370d,e20051397201021118904d81,44160186fc370d0e3000e20051397201021118904d81,1
1,90,25,25.8,117,11287565,75,ac3c0d,e20051397201021118904d81,44160175ac3c0d0e3000e20051397201021118904d81,1
1,90,25,25.8,132,5519885,84,543a0d,e20051397201021118904d81,44160184543a0d0e3000e20051397201021118904d81,1
1,90,25,25.8,117,10761485,75,a4350d,e20051397201021118904d81,44160175a4350d0e3000e20051397201021118904d81,1
1,90,25,25.8,132,16529165,84,fc370d,e20051397201021118904d81,44160184fc370d0e3000e20051397201021118904d81,1
1,100,25,25.8,133,11287565,85,ac3c0d,e20051397201021118904d81,44160185ac3c0d0e3000e20051397201021118904d81,1
1,100,25,25.8,128,5519885,80,543a0d,e20051397201021118904d81,44160180543a0d0e3000e20051397201021118904d81,1
1,100,25,25.8,130,10761485,82,a4350d,e20051397201021118904d81,44160182a4350d0e3000e20051397201021118904d81,1
1,100,25,25.8,128,16529165,80,fc370d,e20051397201021118904d81,44160180fc370d0e3000e20051397201021118904d81,1
1,100,25,25.8,130,11287565,82,ac3c0d,e20051397201021118904d81,44160182ac3c0d0e3000e20051397201021118904d81,1
1,110,25,25.8,114,5519885,72,543a0d,e20051397201021118904d81,44160172543a0d0e3000e20051397201021118904d81,1
1,110,25,25.8,115,10761485,73,a4350d,e20051397201021118904d81,44160173a4350d0e3000e20051397201021118904d81,1
1,110,25,25.8,101,16529165,65,fc370d,e20051397201021118904d81,44160165fc370d0e3000e20051397201021118904d81,1
1,110,25,25.8,102,11287565,66,ac3c0d,e20051397201021118904d81,44160166ac3c0d0e3000e20051397201021118904d81,1
1,110,25,25.8,0,0,0,0,,4405000000,0
1,120,25,25.8,0,0,0,0,,4405000000,0
1,120,25,25.8,0,0,0,0,,4405000000,0
1,120,25,25.8,6,11287565,06,ac3c0d,e20051397201021118904d81,44160106ac3c0d0e3000e20051397201021118904d81,1
1,120,25,25.8,54,5519885,36,543a0d,e20051397201021118904d81,44160136543a0d0e3000e20051397201021118904d81,1
1,120,25,25.8,0,0,0,0,,4405000000,0
1,130,25,25.8,0,0,0,0,,4405000000,0
1,130,25,25.8,6,11287565,06,ac3c0d,e20051397201021118904d81,44160106ac3c0d0e3000e20051397201021118904d81,1
1,130,25,25.8,38,5519885,26,543a0d,e20051397201021118904d81,44160126543a0d0e3000e20051397201021118904d81,1
1,130,25,25.8,70,10761485,46,a4350d,e20051397201021118904d81,44160146a4350d0e3000e20051397201021118904d81,1
1,130,25,25.8,54,16529165,36,fc370d,e20051397201021118904d81,44160136fc370d0e3000e20051397201021118904d81,1
1,140,25,25.8,0,0,0,0,,4405000000,0
1,140,25,25.8,0,0,0,0,,4405000000,0
1,140,25,25.8,0,0,0,0,,4405000000,0
1,140,25,25.8,0,0,0,0,,4405000000,0
1,140,25,25.8,0,0,0,0,,4405000000,0
1,150,25,25.8,0,0,0,0,,4405000000,0
1,150,25,25.8,0,0,0,0,,4405000000,0
1,150,25,25.8,0,0,0,0,,4405000000,0
1,150,25,25.8,0,0,0,0,,4405000000,0
1,150,25,25.8,0,0,0,0,,4405000000,0
1,160,25,25.8,0,0,0,0,,4405000000,0
1,160,25,25.8,0,0,0,0,,4405000000,0
1,160,25,25.8,0,0,0,0,,4405000000,0
1,160,25,25.8,0,0,0,0,,4405000000,0
1,160,25,25.8,0,0,0,0,,4405000000,0
1,170,25,25.8,0,0,0,0,,4405000000,0
1,170,25,25.8,0,0,0,0,,4405000000,0
1,170,25,25.8,0,0,0,0,,4405000000,0
1,170,25,25.8,0,0,0,0,,4405000000,0
1,170,25,25.8,0,0,0,0,,4405000000,0
1,180,25,25.8,0,0,0,0,,4405000000,0
1,180,25,25.8,0,0,0,0,,4405000000,0
1,180,25,25.8,0,0,0,0,,4405000000,0
1,180,25,25.8,0,0,0,0,,4405000000,0
1,180,25,25.8,0,0,0,0,,4405000000,0
1,190,25,25.8,0,0,0,0,,4405000000,0
1,190,25,25.8,0,0,0,0,,4405000000,0
1,190,25,25.8,0,0,0,0,,4405000000,0
1,190,25,25.8,0,0,0,0,,4405000000,0
1,190,25,25.8,0,0,0,0,,4405000000,0
