DISTANCE,DETECT,RSSI_DEC,FREQUENCY,ID,CYCLE,N,READ_RATE
110,1,117,11287565,e20051397201021018904d85,2,5,0.500
120,0,0,0,e20051397201021018904d85,5,5,0.000
130,0,0,0,e20051397201021018904d85,5,5,0.000
140,1,53,16529165,e20051397201021018904d85,2,5,0.500
150,1,5,11287565,e20051397201021018904d85,3,5,0.333
160,0,0,0,e20051397201021018904d85,5,5,0.000
170,0,0,0,e20051397201021018904d85,5,5,0.000
180,0,0,0,e20051397201021018904d85,5,5,0.000
190,0,0,0,e20051397201021018904d85,5,5,0.000
200,0,0,0,e20051397201021018904d85,5,5,0.000
10,1,237,16529165,e20051397201021018904d85,1,6,1.000
20,1,236,11287565,e20051397201021018904d85,1,6,1.000
30,1,212,5519885,e20051397201021018904d85,1,6,1.000
40,1,200,10761485,e20051397201021018904d85,1,6,1.000
50,1,176,16529165,e20051397201021018904d85,2,6,0.500
60,0,0,0,e20051397201021018904d85,5,6,0.000
70,1,9,5519885,e20051397201021018904d85,2,6,0.500
80,1,40,10761485,e20051397201021018904d85,1,6,1.000
90,1,39,16529165,e20051397201021018904d85,2,6,0.500
100,0,0,0,e20051397201021018904d85,5,6,0.000
110,1,101,5519885,e20051397201021018904d85,2,6,0.500
120,0,0,0,e20051397201021018904d85,5,6,0.000
130,0,0,0,e20051397201021018904d85,5,6,0.000
140,0,0,0,e20051397201021018904d85,5,6,0.000
150,0,0,0,e20051397201021018904d85,5,6,0.000
160,0,0,0,e20051397201021018904d85,5,6,0.000
170,0,0,0,e20051397201021018904d85,5,6,0.000
180,0,0,0,e20051397201021018904d85,5,6,0.000
190,0,0,0,e20051397201021018904d85,5,6,0.000
200,0,0,0,e20051397201021018904d85,5,6,0.000
10,1,236,11287565,e20051397201021018904d85,1,7,1.000
20,1,236,5519885,e20051397201021018904d85,1,7,1.000
30,1,215,10761485,e20051397201021018904d85,1,7,1.000
40,0,0,0,e20051397201021018904d85,5,7,0.000
50,1,137,11287565,e20051397201021018904d85,1,7,1.000
60,1,58,5519885,e20051397201021018904d85,1,7,1.000
70,1,9,10761485,e20051397201021018904d85,1,7,1.000
80,1,119,16529165,e20051397201021018904d85,1,7,1.000
90,1,113,11287565,e20051397201021018904d85,1,7,1.000
100,1,116,5519885,e20051397201021018904d85,2,7,0.500
110,1,98,10761485,e20051397201021018904d85,1,7,1.000
120,0,0,0,e20051397201021018904d85,5,7,0.000
130,0,0,0,e20051397201021018904d85,5,7,0.000
140,0,0,0,e20051397201021018904d85,5,7,0.000
150,0,0,0,e20051397201021018904d85,5,7,0.000
160,0,0,0,e20051397201021018904d85,5,7,0.000
170,0,0,0,e20051397201021018904d85,5,7,0.000
180,0,0,0,e20051397201021018904d85,5,7,0.000
