DISTANCE,DETECT,RSSI_DEC,FREQUENCY,ID,N,READ,READ_RATE
300,0,0,0,e20051397201021118904d81,10,0,0.00
10,1,236,5519885,e20051397201021018904d85,1,5,1.00
20,1,234,10761485,e20051397201021018904d85,1,5,1.00
30,1,218,16529165,e20051397201021018904d85,1,5,1.00
40,1,184,11287565,e20051397201021018904d85,1,5,1.00
50,0,0,0,e20051397201021018904d85,1,0,0.00
60,1,105,10761485,e20051397201021018904d85,1,5,1.00
70,1,120,16529165,e20051397201021018904d85,1,5,1.00
80,1,72,11287565,e20051397201021018904d85,1,4,0.80
90,1,102,5519885,e20051397201021018904d85,1,4,0.80
100,0,0,0,e20051397201021018904d85,1,0,0.00
110,1,83,16529165,e20051397201021018904d85,1,4,0.80
120,0,0,0,e20051397201021018904d85,1,0,0.00
130,0,0,0,e20051397201021018904d85,1,0,0.00
140,1,5,10761485,e20051397201021018904d85,1,5,1.00
150,0,0,0,e20051397201021018904d85,1,0,0.00
160,1,64,11287565,e20051397201021018904d85,1,3,0.60
170,0,0,0,e20051397201021018904d85,1,0,0.00
180,0,0,0,e20051397201021018904d85,1,0,0.00
190,0,0,0,e20051397201021018904d85,1,0,0.00
200,0,0,0,e20051397201021018904d85,1,0,0.00
210,0,0,0,e20051397201021018904d85,1,0,0.00
220,0,0,0,e20051397201021018904d85,1,0,0.00
230,0,0,0,e20051397201021018904d85,1,0,0.00
240,0,0,0,e20051397201021018904d85,1,0,0.00
250,0,0,0,e20051397201021018904d85,1,0,0.00
260,0,0,0,e20051397201021018904d85,1,0,0.00
270,0,0,0,e20051397201021018904d85,1,0,0.00
280,0,0,0,e20051397201021018904d85,1,0,0.00
290,0,0,0,e20051397201021018904d85,1,0,0.00
300,0,0,0,e20051397201021018904d85,1,0,0.00
10,1,191,10761485,e20051397201021018904d85,2,5,1.00
20,1,222,16529165,e20051397201021018904d85,2,5,1.00
30,1,203,11287565,e20051397201021018904d85,2,5,1.00
40,1,201,5519885,e20051397201021018904d85,2,5,1.00
50,1,176,10761485,e20051397201021018904d85,2,4,0.80
60,1,148,16529165,e20051397201021018904d85,2,5,1.00
70,1,89,11287565,e20051397201021018904d85,2,5,1.00
80,0,0,0,e20051397201021018904d85,2,0,0.00
90,0,0,0,e20051397201021018904d85,2,0,0.00
100,1,119,16529165,e20051397201021018904d85,2,4,0.80
110,0,0,0,e20051397201021018904d85,2,0,0.00
120,1,80,5519885,e20051397201021018904d85,2,4,0.80
130,0,0,0,e20051397201021018904d85,2,0,0.00
140,1,21,16529165,e20051397201021018904d85,2,5,1.00
150,1,5,11287565,e20051397201021018904d85,2,4,0.80
160,0,0,0,e20051397201021018904d85,2,0,0.00
170,0,0,0,e20051397201021018904d85,2,0,0.00
180,0,0,0,e20051397201021018904d85,2,0,0.00
190,0,0,0,e20051397201021018904d85,2,0,0.00
200,0,0,0,e20051397201021018904d85,2,0,0.00
210,0,0,0,e20051397201021018904d85,2,0,0.00
220,0,0,0,e20051397201021018904d85,2,0,0.00
230,0,0,0,e20051397201021018904d85,2,0,0.00
240,0,0,0,e20051397201021018904d85,2,0,0.00
250,0,0,0,e20051397201021018904d85,2,0,0.00
260,0,0,0,e20051397201021018904d85,2,0,0.00
270,0,0,0,e20051397201021018904d85,2,0,0.00
280,0,0,0,e20051397201021018904d85,2,0,0.00
290,0,0,0,e20051397201021018904d85,2,0,0.00
300,0,0,0,e20051397201021018904d85,2,0,0.00
10,1,253,16529165,e20051397201021018904d85,3,5,1.00
20,1,235,11287565,e20051397201021018904d85,3,5,1.00
30,1,218,5519885,e20051397201021018904d85,3,5,1.00
40,1,193,10761485,e20051397201021018904d85,3,5,1.00
50,1,167,16529165,e20051397201021018904d85,3,5,1.00
60,1,151,11287565,e20051397201021018904d85,3,5,1.00
70,1,57,5519885,e20051397201021018904d85,3,5,1.00
80,1,23,10761485,e20051397201021018904d85,3,4,0.80
90,0,0,0,e20051397201021018904d85,3,0,0.00
100,1,113,11287565,e20051397201021018904d85,3,4,0.80
110,1,112,5519885,e20051397201021018904d85,3,4,0.80
120,0,0,0,e20051397201021018904d85,3,0,0.00
130,0,0,0,e20051397201021018904d85,3,0,0.00
140,1,21,11287565,e20051397201021018904d85,3,5,1.00
150,0,0,0,e20051397201021018904d85,3,0,0.00
160,0,0,0,e20051397201021018904d85,3,0,0.00
170,0,0,0,e20051397201021018904d85,3,0,0.00
180,0,0,0,e20051397201021018904d85,3,0,0.00
190,0,0,0,e20051397201021018904d85,3,0,0.00
200,0,0,0,e20051397201021018904d85,3,0,0.00
210,0,0,0,e20051397201021018904d85,3,0,0.00
220,0,0,0,e20051397201021018904d85,3,0,0.00
230,0,0,0,e20051397201021018904d85,3,0,0.00
240,0,0,0,e20051397201021018904d85,3,0,0.00
250,0,0,0,e20051397201021018904d85,3,0,0.00
260,0,0,0,e20051397201021018904d85,3,0,0.00
270,0,0,0,e20051397201021018904d85,3,0,0.00
280,0,0,0,e20051397201021018904d85,3,0,0.00
290,0,0,0,e20051397201021018904d85,3,0,0.00
300,0,0,0,e20051397201021018904d85,3,0,0.00
10,1,237,11287565,e20051397201021018904d85,4,5,1.00
20,1,205,5519885,e20051397201021018904d85,4,5,1.00
30,1,198,10761485,e20051397201021018904d85,4,5,1.00
40,1,167,16529165,e20051397201021018904d85,4,4,0.80
50,0,0,0,e20051397201021018904d85,4,0,0.00
