DISTANCE,DETECT,RSSI,FREQUENCY,ID
90,1,130,5519885,e20051397201015918904e51
100,1,128,10761485,e20051397201015918904e51
110,0,0,0,e20051397201015918904e51
120,1,85,11287565,e20051397201015918904e51
130,1,52,5519885,e20051397201015918904e51
140,1,38,10761485,e20051397201015918904e51
150,1,22,16529165,e20051397201015918904e51
160,0,0,0,e20051397201015918904e51
170,0,0,0,e20051397201015918904e51
180,0,0,0,e20051397201015918904e51
190,0,0,0,e20051397201015918904e51
200,0,0,0,e20051397201015918904e51
10,1,237,10761485,e20051397201015918904e51
20,1,205,16529165,e20051397201015918904e51
30,1,218,11287565,e20051397201015918904e51
40,0,0,0,e20051397201015918904e51
50,1,10,10761485,e20051397201015918904e51
60,1,89,16529165,e20051397201015918904e51
70,1,120,11287565,e20051397201015918904e51
80,1,88,5519885,e20051397201015918904e51
90,1,96,10761485,e20051397201015918904e51
100,1,98,16529165,e20051397201015918904e51
110,1,84,11287565,e20051397201015918904e51
120,0,0,0,e20051397201015918904e51
130,0,0,0,e20051397201015918904e51
140,0,0,0,e20051397201015918904e51
150,0,0,0,e20051397201015918904e51
160,0,0,0,e20051397201015918904e51
170,0,0,0,e20051397201015918904e51
180,0,0,0,e20051397201015918904e51
190,0,0,0,e20051397201015918904e51
200,0,0,0,e20051397201015918904e51
10,1,234,11287565,e20051397201015918904e51
20,1,236,5519885,e20051397201015918904e51
30,1,203,10761485,e20051397201015918904e51
40,1,182,16529165,e20051397201015918904e51
50,1,106,11287565,e20051397201015918904e51
60,1,89,5519885,e20051397201015918904e51
70,1,40,10761485,e20051397201015918904e51
80,1,86,16529165,e20051397201015918904e51
90,1,115,11287565,e20051397201015918904e51
100,0,0,0,e20051397201015918904e51
110,1,80,10761485,e20051397201015918904e51
120,0,0,0,e20051397201015918904e51
130,1,6,11287565,e20051397201015918904e51
140,1,22,5519885,e20051397201015918904e51
150,1,36,10761485,e20051397201015918904e51
160,1,37,16529165,e20051397201015918904e51
170,0,0,0,e20051397201015918904e51
180,0,0,0,e20051397201015918904e51
190,0,0,0,e20051397201015918904e51
200,0,0,0,e20051397201015918904e51
10,1,206,5519885,e20051397201015918904e51
20,1,206,10761485,e20051397201015918904e51
30,1,204,16529165,e20051397201015918904e51
40,1,183,11287565,e20051397201015918904e51
50,1,151,5519885,e20051397201015918904e51
60,1,135,10761485,e20051397201015918904e51
70,1,56,16529165,e20051397201015918904e51
80,1,8,11287565,e20051397201015918904e51
90,1,118,5519885,e20051397201015918904e51
100,1,116,10761485,e20051397201015918904e51
110,1,128,16529165,e20051397201015918904e51
120,1,115,11287565,e20051397201015918904e51
130,1,54,5519885,e20051397201015918904e51
140,1,38,10761485,e20051397201015918904e51
150,1,21,16529165,e20051397201015918904e51
160,0,0,0,e20051397201015918904e51
170,0,0,0,e20051397201015918904e51
180,0,0,0,e20051397201015918904e51
190,0,0,0,e20051397201015918904e51
200,0,0,0,e20051397201015918904e51
10,1,175,10761485,e20051397201015918904e51
20,1,205,16529165,e20051397201015918904e51
30,1,188,11287565,e20051397201015918904e51
40,0,0,0,e20051397201015918904e51
50,1,165,10761485,e20051397201015918904e51
60,1,151,16529165,e20051397201015918904e51
70,1,40,11287565,e20051397201015918904e51
80,1,7,5519885,e20051397201015918904e51
90,0,0,0,e20051397201015918904e51
100,1,132,16529165,e20051397201015918904e51
110,1,116,11287565,e20051397201015918904e51
120,1,112,5519885,e20051397201015918904e51
130,0,0,0,e20051397201015918904e51
140,1,22,16529165,e20051397201015918904e51
150,1,5,11287565,e20051397201015918904e51
160,0,0,0,e20051397201015918904e51
170,0,0,0,e20051397201015918904e51
180,0,0,0,e20051397201015918904e51
190,0,0,0,e20051397201015918904e51
200,0,0,0,e20051397201015918904e51
10,1,127,16529165,e20051397201015618904e5d
20,1,221,11287565,e20051397201015618904e5d
30,1,204,5519885,e20051397201015618904e5d
40,1,200,10761485,e20051397201015618904e5d
50,1,168,16529165,e20051397201015618904e5d
60,1,137,11287565,e20051397201015618904e5d
70,0,0,0,e20051397201015618904e5d
80,1,103,10761485,e20051397201015618904e5d
90,1,119,16529165,e20051397201015618904e5d
100,1,86,11287565,e20051397201015618904e5d
110,1,97,5519885,e20051397201015618904e5d
120,1,80,10761485,e20051397201015618904e5d
130,0,0,0,e20051397201015618904e5d
140,0,0,0,e20051397201015618904e5d
150,1,37,5519885,e20051397201015618904e5d
160,0,0,0,e20051397201015618904e5d
